Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
307694,Wild Willy,1,New Delhi,"India Habitat Centre, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi",77.225607,28.58997,"Pizza, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,19
302369,Anand Ji de Choley Bhatoore,1,New Delhi,"Opposite Green Field School, Naveen, Shahdara, New Delhi",Shahdara,"Shahdara, New Delhi",77.2833919,28.6778187,North Indian,150,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average,5
302314,G+,1,New Delhi,"Main IGNOU Road, Neb Sarai, Sainik Farms, New Delhi",Sainik Farms,"Sainik Farms, New Delhi",77.20021944,28.50756389,Mithai,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,3
18376478,New Lazeez Tandoor,1,New Delhi,"B-1, Shop 4, Gurudwara Road, Mahavir Enclave, Palam Dabri Road, Palam, New Delhi",Palam,"Palam, New Delhi",77.0817069,28.6004059,"North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,2
306067,Oberoi Biryani,1,New Delhi,"1/123, Opposite BSES Office, Shankar Road, Old, Rajinder Nagar, New Delhi",Rajinder Nagar,"Rajinder Nagar, New Delhi",77.1851026,28.6358601,"Biryani, North Indian",600,Indian Rupees(Rs.),No,No,No,No,2,2.6,Orange,Average,135
18250797,Cake o' Cuisine,1,New Delhi,"A-1/9, Satyawati Colony, Ashok Vihar Phase 3, New Delhi",Ashok Vihar Phase 3,"Ashok Vihar Phase 3, New Delhi",77.1778577,28.691831,Bakery,300,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,26
1305,Sai Ann Kutir,1,New Delhi,"5, F Block, DDA Market, Vikaspuri, New Delhi",Vikaspuri,"Vikaspuri, New Delhi",77.0707437,28.64041091,"Chinese, North Indian",400,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,37
18368021,Himalya Chinese,1,New Delhi,"Shop 1, Plot 365, Chand Nagar, Tilak Nagar, New Delhi",Tilak Nagar,"Tilak Nagar, New Delhi",77.0962302,28.6468527,Chinese,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
308526,Sweet Toof Designer Cakes,1,New Delhi,"16-A, Pocket 3, Mayur Vihar Phase 1, New Delhi",Mayur Vihar Phase 1,"Mayur Vihar Phase 1, New Delhi",77.29909826,28.60545101,"Bakery, Desserts",250,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,7
18431151,KGN Chicken Corner,1,New Delhi,"Near City Store, Palam Dabri Road, Palam, New Delhi",Palam,"Palam, New Delhi",77.0824439,28.6005361,Mughlai,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
1969,Pacific Asia,1,New Delhi,"G-3, Cascade Shopping Center, Netaji Subhash Place, New Delhi",Netaji Subhash Place,"Netaji Subhash Place, New Delhi",77.1489657,28.6925061,"North Indian, Chinese",1200,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.7,Yellow,Good,151
18313112,Taste of India,1,New Delhi,"A-53,   NH-8, Near IGI Airport, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",77.1293709,28.5505165,"North Indian, Mughlai, Chinese",1000,Indian Rupees(Rs.),Yes,No,No,No,3,0,White,Not rated,0
18358685,Chawnsan Chef,1,New Delhi,"1B/A, Arjun Nagar, Safdarjung, New Delhi",Safdarjung,"Safdarjung, New Delhi",77.198889,28.559828,"Mughlai, North Indian, Chinese",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,13
18138443,The Piano Man Jazz Club,1,New Delhi,"B-6-7/22, Safdarjung Enclave Market, Opposite Deer Park, Safdarjung, New Delhi",Safdarjung,"Safdarjung, New Delhi",77.19702881,28.55952304,"Mexican, American",1800,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.2,Green,Very Good,420
18354968,Let's Eat,1,New Delhi,"Basement, Shop 6, 88-A, Radheed Hotel Market, Main Road, Zakir Nagar, New Delhi",Zakir Nagar,"Zakir Nagar, New Delhi",77.28167631,28.56679379,"Fast Food, Beverages",200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
18287378,Chily Hut,1,New Delhi,"Shop 3 & 6, Ground Floor, G Block, PVR Sonia Complex, Vikaspuri, New Delhi",Vikaspuri,"Vikaspuri, New Delhi",77.07597736,28.63884135,"Chinese, North Indian",750,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,20
5878,Atul Chaat Corner,1,New Delhi,"H-44, Main Market, Rajouri Garden, New Delhi",Rajouri Garden,"Rajouri Garden, New Delhi",77.1209176,28.6456088,Street Food,100,Indian Rupees(Rs.),No,No,No,No,1,3.8,Yellow,Good,413
311609,Chatorey Chacha,1,New Delhi,"E-2/16, Near Shani Mandir, Malviya Nagar, New Delhi",Malviya Nagar,"Malviya Nagar, New Delhi",77.2097386,28.5340199,"Street Food, North Indian",350,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,51
307843,Pizza Hut Delivery,1,New Delhi,"B-05, Ground Floor, Ansal Plaza Mall, Khel Gaon Marg, New Delhi","Ansal Plaza Mall, Khel Gaon Marg","Ansal Plaza Mall, Khel Gaon Marg, New Delhi",77.2242626,28.5625495,"Italian, Pizza, Fast Food",800,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,51
18423140,Gareeb Dhaba,1,New Delhi,"Bhairon Baba Market, Durgapuri Chowk, Shahdara, New Delhi",Shahdara,"Shahdara, New Delhi",77.2920013,28.6876451,Mughlai,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
18449629,Giani,1,New Delhi,"Shop 5, DLF, Near Moti Nagar Metro Station, Moti Nagar, New Delhi",Moti Nagar,"Moti Nagar, New Delhi",77.1422037,28.6576022,"Ice Cream, Desserts",400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
249,Pizza Hut,1,New Delhi,"M-20, Outer Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.2228218,28.6322176,"Italian, Pizza, Fast Food",1000,Indian Rupees(Rs.),No,Yes,No,No,3,3.5,Yellow,Good,541
18252376,Nirula's Ice Cream,1,New Delhi,"Surya Mansion 1, Kaushalya Park, Hauz Khas, New Delhi",Hauz Khas,"Hauz Khas, New Delhi",77.2046029,28.5505745,"Ice Cream, Desserts",300,Indian Rupees(Rs.),No,Yes,No,No,1,2.9,Orange,Average,9
18336478,Hang Out,1,New Delhi,"3rd Floor, Pacific Mall, Opposite Unisex Saloon, Tagore Garden, New Delhi","Pacific Mall, Tagore Garden","Pacific Mall, Tagore Garden, New Delhi",77.1065198,28.6421902,"Italian, Continental, Fast Food, North Indian",1000,Indian Rupees(Rs.),Yes,No,No,No,3,0,White,Not rated,3
5283,Pavitra Bakers,1,New Delhi,"B-1/58, Sector 18, Rohini, New Delhi",Rohini,"Rohini, New Delhi",77.137416,28.736207,"Bakery, Chinese, Fast Food",450,Indian Rupees(Rs.),No,Yes,No,No,1,3.2,Orange,Average,73
312542,Keventers,1,New Delhi,"Food Court, 2nd Floor, DLF Promenade Mall, Vasant Kunj, New Delhi","DLF Promenade Mall, Vasant Kunj","DLF Promenade Mall, Vasant Kunj, New Delhi",77.15570837,28.5427387,Beverages,400,Indian Rupees(Rs.),No,No,No,No,1,3.8,Yellow,Good,154
301015,Slic Chic,1,New Delhi,"Shop 3, BS Market, Shalimar Bagh, New Delhi",Shalimar Bagh,"Shalimar Bagh, New Delhi",77.157369,28.7058943,"Chinese, Fast Food",450,Indian Rupees(Rs.),No,No,No,No,1,3.8,Yellow,Good,178
303583,Teflas,1,New Delhi,"Opposite Narmada Hostel, JNU, New Delhi",JNU,"JNU, New Delhi",77.1656368,28.5474027,"North Indian, Chinese",300,Indian Rupees(Rs.),No,No,No,No,1,3.4,Orange,Average,53
18421485,Bikaner Restaurant,1,New Delhi,"Shop 264, Near Hakikat Nagar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,"Mukherjee Nagar, New Delhi",77.2081351,28.699566,North Indian,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
18312572,Avatar Da Dhaba,1,New Delhi,"Ring Road Narayna, Opp Dharamshala, Naraina, New Delhi",Naraina,"Naraina, New Delhi",77.1364744,28.6205175,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
18378033,Sultan Food,1,New Delhi,"400 A, J & K Pocket, Dilshad Garden, New Delhi",Dilshad Garden,"Dilshad Garden, New Delhi",77.3225314,28.6818859,Mughlai,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.1,Orange,Average,14
3116,Cafe Festa,1,New Delhi,"1832, Laxmi Narain Street, Chuna Mandi, Paharganj, New Delhi",Paharganj,"Paharganj, New Delhi",77.2102911,28.6409218,"Cafe, North Indian, Fast Food",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,38
18285728,Qureshi Kabab,1,New Delhi,"L-2, Gate 4, Metro Station, Khan Market, New Delhi",Khan Market,"Khan Market, New Delhi",77.2280043,28.602474,Mughlai,450,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,17
1505,Shree Ram Sweet Centre,1,New Delhi,"DDA Market, Ber Sarai, Near IIT Delhi Hostel Gate, JNU, New Delhi",JNU,"JNU, New Delhi",77.1807722,28.5494286,"Mithai, Street Food",150,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average,13
305348,Dilli Darbaar,1,New Delhi,"Madhu Vihar Market, IP Extension, New Delhi",IP Extension,"IP Extension, New Delhi",77.3043502,28.6360024,Street Food,100,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,18
18279463,Hungry Pistals,1,New Delhi,"B-6, Ground Floor, Greater Kailash (GK) 1, New Delhi",Greater Kailash (GK) 1,"Greater Kailash (GK) 1, New Delhi",77.2127245,28.5351803,"Fast Food, American, Italian",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.7,Yellow,Good,108
18292455,Moti Mahal Delux,1,New Delhi,"HL-3 GF, Opposite Santoshi Mata Mandir, Jail Road, New Delhi",Jail Road,"Jail Road, New Delhi",77.1013347,28.6255608,"North Indian, Chinese",800,Indian Rupees(Rs.),Yes,Yes,No,No,2,2.7,Orange,Average,12
410,Naivedyam,1,New Delhi,"25/35, East Patel Nagar, New Delhi",East Patel Nagar,"East Patel Nagar, New Delhi",77.1760203,28.6438411,South Indian,500,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,359
311162,Deluxe Butter Omlette,1,New Delhi,"S-71, Aggarwal Plaza, Opposite Balaji Mandir, Prashant Vihar, New Delhi",Prashant Vihar,"Prashant Vihar, New Delhi",77.1344497,28.7155992,Fast Food,200,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,13
18463567,Nueva,1,New Delhi,"Ground Floor, Sangam Courtyard, R K Puram, New Delhi","Sangam Courtyard, RK Puram","Sangam Courtyard, RK Puram, New Delhi",77.1720619,28.571902,South American,2500,Indian Rupees(Rs.),Yes,No,No,No,4,3.3,Orange,Average,14
18430901,Ghar Bistro Cafe,1,New Delhi,"J-198, 2nd Floor, Rajouri Garden, New Delhi",Rajouri Garden,"Rajouri Garden, New Delhi",77.1176775,28.6464612,"Continental, North Indian, Chinese, Mughlai, Asian",800,Indian Rupees(Rs.),Yes,No,No,No,2,4.4,Green,Very Good,153
18384151,No Name - Taste Hi Kaafi Hai,1,New Delhi,"Unit G-73, Aggarwal Cyber Plaza 2, Netaji Subhash Place, New Delhi",Netaji Subhash Place,"Netaji Subhash Place, New Delhi",77.1499993,28.6940829,"Burger, Fast Food",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.2,Orange,Average,31
17953916,Hunger Strike,1,New Delhi,"M-69, Opposite Yes Bank, M Block Market, Greater Kailash (GK) 1, New Delhi",Greater Kailash (GK) 1,"Greater Kailash (GK) 1, New Delhi",77.2341837,28.5510721,Fast Food,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.3,Orange,Average,70
769,Adyar Ananda Bhavan,1,New Delhi,"S-18, Main Market, Green Park, New Delhi",Green Park,"Green Park, New Delhi",77.2025317,28.5572354,"South Indian, North Indian, Street Food, Chinese, Mithai",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.5,Yellow,Good,368
18408066,Meatwale.com,1,New Delhi,"Dhankad Market, Main IGNOU Road, Neb Sarai, Sainik Farms, New Delhi",Sainik Farms,"Sainik Farms, New Delhi",77.201667,28.5099643,"Raw Meats, North Indian",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
18466975,Dhaba Ambarsariya,1,New Delhi,"BF-3, Jail Road, Next to Domino's, Hari Nager Depot, New Delhi",Janakpuri,"Janakpuri, New Delhi",77.101121,28.625011,"North Indian, Chinese",700,Indian Rupees(Rs.),Yes,Yes,No,No,2,3.3,Orange,Average,23
2315,Aapki Rasoi,1,New Delhi,"F 20/10 Mandir Marg, Krishna Nagar, New Delhi",Krishna Nagar,"Krishna Nagar, New Delhi",77.2861883,28.6611167,North Indian,250,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,15
302411,Bikaner Sweets,1,New Delhi,"Brahmpuri Road, Ghonda Chowk, Shahdara, New Delhi",Shahdara,"Shahdara, New Delhi",77.2702013,28.6901576,"Mithai, Street Food",100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
18485936,Chez Jerome - Q Cafe,1,New Delhi,"344/3, 4th Floor, Lado Sarai, New Delhi",Lado Sarai,"Lado Sarai, New Delhi",0,0,"Cafe, French",1500,Indian Rupees(Rs.),Yes,No,No,No,3,0,White,Not rated,1
312756,Uraki,1,New Delhi,"42, Gautam Nagar, Behind Father Agnel School, Near Yusuf Sarai, New Delhi",Yusuf Sarai,"Yusuf Sarai, New Delhi",77.2133453,28.5622651,Asian,400,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average,8
1397,Juneja's Eating Plaza,1,New Delhi,"74, Mehar Chand Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi",77.226729,28.5845134,"North Indian, Mughlai, Chinese, Fast Food",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,98
2012,Bobby Tikki Wala,1,New Delhi,"D-100, Vikas Marg, Laxmi Nagar, New Delhi",Laxmi Nagar,"Laxmi Nagar, New Delhi",77.2784272,28.631536,Street Food,250,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,74
